Lipid Name,Lipid Unique Identifier,Precursor m/z,Precursor Retention Time (sec),Identification Charge,LMP,HMP,cf,neutromers_to_extract,literature_n,Adduct,Adduct_cf
Acetylcholine_Man,Acetylcholine_Man_3.601,147.1253246,216.06461538,1,,,C7H16NO2,3.0,,M+H,C7H17NO2
Acetylcholine_Man,Acetylcholine_Man_3.601,169.10726928,216.06461538,1,,,C7H16NO2,3.0,,M+Na,C7H16NO2Na
Acetylcholine_Man,Acetylcholine_Man_3.601,129.11476130000003,216.06461538,1,,,C7H16NO2,3.0,,M+H-[H20],C7H15NO
Acetylcholine_Man,Acetylcholine_Man_3.601,151.09670598,216.06461538,1,,,C7H16NO2,3.0,,M+Na-[H2O],C7H14NONa
Acetylcholine_Man,Acetylcholine_Man_3.601,164.1518716,216.06461538,1,,,C7H16NO2,3.0,,M+NH4,C7H20N2O2
Acetylcholine_Man,Acetylcholine_Man_3.601,145.1334837,216.06461538,1,,,C7H16NO2,3.0,,M+NH4-[H2O],C7H18N2O
LPC 22:4/0:0_al,LPC 22:4/0:0_al_18.107,572.370650389214,1086.446599999998,1,,,C30H54NO7P,3.0,,M+H,C30H55NO7P
LPC 22:4/0:0_al,LPC 22:4/0:0_al_18.107,594.352595069214,1086.446599999998,1,,,C30H54NO7P,3.0,,M+Na,C30H54NO7PNa
LPC 22:4/0:0_al,LPC 22:4/0:0_al_18.107,554.360087089214,1086.446599999998,1,,,C30H54NO7P,3.0,,M+H-[H20],C30H53NO6P
LPC 22:4/0:0_al,LPC 22:4/0:0_al_18.107,576.342031769214,1086.446599999998,1,,,C30H54NO7P,3.0,,M+Na-[H2O],C30H52NO6PNa
LPC 22:4/0:0_al,LPC 22:4/0:0_al_18.107,589.3971973892139,1086.446599999998,1,,,C30H54NO7P,3.0,,M+NH4,C30H58N2O7P
LPC 22:4/0:0_al,LPC 22:4/0:0_al_18.107,570.3788094892141,1086.446599999998,1,,,C30H54NO7P,3.0,,M+NH4-[H2O],C30H56N2O6P
LPC 0:0/22:4_al,LPC 0:0/22:4_al_17.660,572.371240387131,1059.598000000002,1,,,C30H54NO7P,3.0,,M+H,C30H55NO7P
LPC 0:0/22:4_al,LPC 0:0/22:4_al_17.660,594.353185067131,1059.598000000002,1,,,C30H54NO7P,3.0,,M+Na,C30H54NO7PNa
LPC 0:0/22:4_al,LPC 0:0/22:4_al_17.660,554.360677087131,1059.598000000002,1,,,C30H54NO7P,3.0,,M+H-[H20],C30H53NO6P
LPC 0:0/22:4_al,LPC 0:0/22:4_al_17.660,576.342621767131,1059.598000000002,1,,,C30H54NO7P,3.0,,M+Na-[H2O],C30H52NO6PNa
LPC 0:0/22:4_al,LPC 0:0/22:4_al_17.660,589.397787387131,1059.598000000002,1,,,C30H54NO7P,3.0,,M+NH4,C30H58N2O7P
LPC 0:0/22:4_al,LPC 0:0/22:4_al_17.660,570.3793994871311,1059.598000000002,1,,,C30H54NO7P,3.0,,M+NH4-[H2O],C30H56N2O6P
PS 18:0_18:1_al,PS 18:0_18:1_al_33.788,790.558686445898,2027.279299999998,1,,,C42H80NO10P,3.0,,M+H,C42H81NO10P
PS 18:0_18:1_al,PS 18:0_18:1_al_33.788,812.540631125898,2027.279299999998,1,,,C42H80NO10P,3.0,,M+Na,C42H80NO10PNa
PS 18:0_18:1_al,PS 18:0_18:1_al_33.788,772.548123145898,2027.279299999998,1,,,C42H80NO10P,3.0,,M+H-[H20],C42H79NO9P
PS 18:0_18:1_al,PS 18:0_18:1_al_33.788,794.5300678258981,2027.279299999998,1,,,C42H80NO10P,3.0,,M+Na-[H2O],C42H78NO9PNa
PS 18:0_18:1_al,PS 18:0_18:1_al_33.788,807.585233445898,2027.279299999998,1,,,C42H80NO10P,3.0,,M+NH4,C42H84N2O10P
PS 18:0_18:1_al,PS 18:0_18:1_al_33.788,788.5668455458981,2027.279299999998,1,,,C42H80NO10P,3.0,,M+NH4-[H2O],C42H82N2O9P
TG 16:0_16:1_18:2_al,TG 16:0_16:1_18:2_al_39.815,829.726530092415,2388.9196999999976,1,,,C53H96O6,3.0,,M+H,C53H97O6
TG 16:0_16:1_18:2_al,TG 16:0_16:1_18:2_al_39.815,851.708474772415,2388.9196999999976,1,,,C53H96O6,3.0,,M+Na,C53H96O6Na
TG 16:0_16:1_18:2_al,TG 16:0_16:1_18:2_al_39.815,811.715966792415,2388.9196999999976,1,,,C53H96O6,3.0,,M+H-[H20],C53H95O5
TG 16:0_16:1_18:2_al,TG 16:0_16:1_18:2_al_39.815,833.6979114724151,2388.9196999999976,1,,,C53H96O6,3.0,,M+Na-[H2O],C53H94O5Na
TG 16:0_16:1_18:2_al,TG 16:0_16:1_18:2_al_39.815,846.753077092415,2388.9196999999976,1,,,C53H96O6,3.0,,M+NH4,C53H100O6N
TG 16:0_16:1_18:2_al,TG 16:0_16:1_18:2_al_39.815,827.7346891924151,2388.9196999999976,1,,,C53H96O6,3.0,,M+NH4-[H2O],C53H98O5N
PC 16:0_20:4_al,PC 16:0_20:4_al_32.497,782.56895780002,1949.8009000000022,1,,,C44H80NO8P,3.0,,M+H,C44H81NO8P
PC 16:0_20:4_al,PC 16:0_20:4_al_32.497,804.55090248002,1949.8009000000022,1,,,C44H80NO8P,3.0,,M+Na,C44H80NO8PNa
PC 16:0_20:4_al,PC 16:0_20:4_al_32.497,764.55839450002,1949.8009000000022,1,,,C44H80NO8P,3.0,,M+H-[H20],C44H79NO7P
PC 16:0_20:4_al,PC 16:0_20:4_al_32.497,786.54033918002,1949.8009000000022,1,,,C44H80NO8P,3.0,,M+Na-[H2O],C44H78NO7PNa
PC 16:0_20:4_al,PC 16:0_20:4_al_32.497,799.59550480002,1949.8009000000022,1,,,C44H80NO8P,3.0,,M+NH4,C44H84N2O8P
PC 16:0_20:4_al,PC 16:0_20:4_al_32.497,780.5771169000201,1949.8009000000022,1,,,C44H80NO8P,3.0,,M+NH4-[H2O],C44H82N2O7P
PC 18:0_18:1_al,PC 18:0_18:1_al_36.324,788.616091983848,2179.4406,1,,,C44H86NO8P,3.0,,M+H,C44H87NO8P
PC 18:0_18:1_al,PC 18:0_18:1_al_36.324,810.598036663848,2179.4406,1,,,C44H86NO8P,3.0,,M+Na,C44H86NO8PNa
PC 18:0_18:1_al,PC 18:0_18:1_al_36.324,770.605528683848,2179.4406,1,,,C44H86NO8P,3.0,,M+H-[H20],C44H85NO7P
PC 18:0_18:1_al,PC 18:0_18:1_al_36.324,792.5874733638481,2179.4406,1,,,C44H86NO8P,3.0,,M+Na-[H2O],C44H84NO7PNa
PC 18:0_18:1_al,PC 18:0_18:1_al_36.324,805.642638983848,2179.4406,1,,,C44H86NO8P,3.0,,M+NH4,C44H90N2O8P
PC 18:0_18:1_al,PC 18:0_18:1_al_36.324,786.6242510838481,2179.4406,1,,,C44H86NO8P,3.0,,M+NH4-[H2O],C44H88N2O7P
TG 14:0_16:0_18:2_al,TG 14:0_16:0_18:2_al_39.776,803.710644807178,2386.535200000002,1,,,C51H94O6,3.0,,M+H,C51H95O6
TG 14:0_16:0_18:2_al,TG 14:0_16:0_18:2_al_39.776,825.692589487178,2386.535200000002,1,,,C51H94O6,3.0,,M+Na,C51H94O6Na
TG 14:0_16:0_18:2_al,TG 14:0_16:0_18:2_al_39.776,785.700081507178,2386.535200000002,1,,,C51H94O6,3.0,,M+H-[H20],C51H93O5
TG 14:0_16:0_18:2_al,TG 14:0_16:0_18:2_al_39.776,807.682026187178,2386.535200000002,1,,,C51H94O6,3.0,,M+Na-[H2O],C51H92O5Na
TG 14:0_16:0_18:2_al,TG 14:0_16:0_18:2_al_39.776,820.737191807178,2386.535200000002,1,,,C51H94O6,3.0,,M+NH4,C51H98O6N
TG 14:0_16:0_18:2_al,TG 14:0_16:0_18:2_al_39.776,801.7188039071781,2386.535200000002,1,,,C51H94O6,3.0,,M+NH4-[H2O],C51H96O5N
LPC 16:0/0:0_al,LPC 16:0/0:0_al_17.998,496.34000282432197,1079.8758,1,,,C24H50NO7P,3.0,,M+H,C24H51NO7P
LPC 16:0/0:0_al,LPC 16:0/0:0_al_17.998,518.321947504322,1079.8758,1,,,C24H50NO7P,3.0,,M+Na,C24H50NO7PNa
LPC 16:0/0:0_al,LPC 16:0/0:0_al_17.998,478.32943952432197,1079.8758,1,,,C24H50NO7P,3.0,,M+H-[H20],C24H49NO6P
LPC 16:0/0:0_al,LPC 16:0/0:0_al_17.998,500.311384204322,1079.8758,1,,,C24H50NO7P,3.0,,M+Na-[H2O],C24H48NO6PNa
LPC 16:0/0:0_al,LPC 16:0/0:0_al_17.998,513.366549824322,1079.8758,1,,,C24H50NO7P,3.0,,M+NH4,C24H54N2O7P
