Lipid Name	Lipid Unique Identifier	Precursor m/z	Precursor Retention Time (sec)	Precursor Drift Time (ms)	Precursor CCS	Identification Charge	LMP	HMP	cf	neutromers_to_extract	literature_n	Adduct	Adduct_cf	dt_x	id_index	mz	z	rt	dt_y	n_isos	mass	mzs	abundances	m-1_mz	m-1_abundance	m_end+1_mz	m_end+1_abundance	rt_min	rt_max	baseline_signal	signal_2_noise	mads	dt_list	num_scans_combined	id_path	mzml_path	summed_signal	Chromatography_Division_Scores	Chromatography_Division_Error	filename	updated	dt_min	dt_max
CE 22:6	CE 22:6_42.152_0.630	715.6246246	2529.12	37.775	293.23	1			C49H76O2	3		M+H	C49H77O2	37.775	424	715.6246246	1	42.152	37.775	3	715.6246246													0.0	C:\Users\Brigham Young Univ\Desktop\Test PNNL Time\RD3_065_PQC_3_pos_ID_File_ID_File_fixed.csv	C:\Users\Brigham Young Univ\Desktop\Test PNNL Time/to_mzml\A4_PQC_3_pos_3.20-end_DI3.d.HRdm.mzML	[]	no peak used	An Error Occurred in Chromatography Division	Out.tsv	True		
CL 74:7	CL 74:7_40.062_0.158	1496.074584	2403.72	9.473	80.73	1			C83H148O17P2	3		M+NH4-[H2O]	C83H150O16P2N	9.473	378	1496.074584	1	40.062	9.473	3	1496.074584	nan	nan	nan	nan	nan	nan					nan		0.0	C:\Users\Brigham Young Univ\Desktop\Test PNNL Time\RD3_065_PQC_3_pos_ID_File_ID_File_fixed.csv	C:\Users\Brigham Young Univ\Desktop\Test PNNL Time/to_mzml\A4_PQC_3_pos_3.20-end_DI3.d.HRdm.mzML	[]	no peak used	An Error Occurred in Chromatography Division	Out.tsv	True		
CL 74:7	CL 74:7_40.062_0.158	1502.037806	2403.72	9.473	80.73	1			C83H148O17P2	3		M+Na-[H2O]	C83H146O16P2Na	9.473	379	1502.037806	1	40.062	9.473	3	1502.037806	nan	nan	nan	nan	nan	nan					nan		0.0	C:\Users\Brigham Young Univ\Desktop\Test PNNL Time\RD3_065_PQC_3_pos_ID_File_ID_File_fixed.csv	C:\Users\Brigham Young Univ\Desktop\Test PNNL Time/to_mzml\A4_PQC_3_pos_3.20-end_DI3.d.HRdm.mzML	[]	no peak used	An Error Occurred in Chromatography Division	Out.tsv	True		
CL 74:7	CL 74:7_40.062_0.158	1520.048369	2403.72	9.473	80.73	1			C83H148O17P2	3		M+Na	C83H148O17P2Na	9.473	381	1520.048369	1	40.062	9.473	3	1520.048369	nan	nan	nan	nan	nan	nan					nan		0.0	C:\Users\Brigham Young Univ\Desktop\Test PNNL Time\RD3_065_PQC_3_pos_ID_File_ID_File_fixed.csv	C:\Users\Brigham Young Univ\Desktop\Test PNNL Time/to_mzml\A4_PQC_3_pos_3.20-end_DI3.d.HRdm.mzML	[]	no peak used	An Error Occurred in Chromatography Division	Out.tsv	True		
CL 74:7	CL 74:7_40.062_0.158	1480.055861	2403.72	9.473	80.73	1			C83H148O17P2	3		M+H-[H20]	C83H147O16P2	9.473	383	1480.055861	1	40.062	9.473	3	1480.055861													0.0	C:\Users\Brigham Young Univ\Desktop\Test PNNL Time\RD3_065_PQC_3_pos_ID_File_ID_File_fixed.csv	C:\Users\Brigham Young Univ\Desktop\Test PNNL Time/to_mzml\A4_PQC_3_pos_3.20-end_DI3.d.HRdm.mzML	[]	no peak used	An Error Occurred in Chromatography Division	Out.tsv	True		
Cer_NS d18:1_24:0	Cer_NS d18:1_24:0_39.368_0.582	651.6509246	2362.08	34.936	272.0	1			C42H83NO3	3		M+H	C42H84NO3	34.936	366	651.6509246	1	39.368	34.936	3	651.6509246	nan	nan	nan	nan	nan	nan					nan		0.0	C:\Users\Brigham Young Univ\Desktop\Test PNNL Time\RD3_065_PQC_3_pos_ID_File_ID_File_fixed.csv	C:\Users\Brigham Young Univ\Desktop\Test PNNL Time/to_mzml\A4_PQC_3_pos_3.20-end_DI3.d.HRdm.mzML	[]	no peak used	An Error Occurred in Chromatography Division	Out.tsv	True		
Cer_NS d18:1_24:0	Cer_NS d18:1_24:0_39.368_0.582	633.6403613	2362.08	34.936	272.0	1			C42H83NO3	3		M+H-[H20]	C42H82NO2	34.936	368	633.6403613	1	39.368	34.936	3	633.6403613	nan	nan	nan	nan	nan	nan					nan		0.0	C:\Users\Brigham Young Univ\Desktop\Test PNNL Time\RD3_065_PQC_3_pos_ID_File_ID_File_fixed.csv	C:\Users\Brigham Young Univ\Desktop\Test PNNL Time/to_mzml\A4_PQC_3_pos_3.20-end_DI3.d.HRdm.mzML	[]	no peak used	An Error Occurred in Chromatography Division	Out.tsv	True		
Cer_NS d18:1_24:0	Cer_NS d18:1_24:0_39.368_0.582	655.622306	2362.08	34.936	272.0	1			C42H83NO3	3		M+Na-[H2O]	C42H81NO2Na	34.936	369	655.622306	1	39.368	34.936	3	655.622306	nan	nan	nan	nan	nan	nan					nan		0.0	C:\Users\Brigham Young Univ\Desktop\Test PNNL Time\RD3_065_PQC_3_pos_ID_File_ID_File_fixed.csv	C:\Users\Brigham Young Univ\Desktop\Test PNNL Time/to_mzml\A4_PQC_3_pos_3.20-end_DI3.d.HRdm.mzML	[]	no peak used	An Error Occurred in Chromatography Division	Out.tsv	True		
Cer_NS d18:1_24:0	Cer_NS d18:1_24:0_39.368_0.582	649.6590837	2362.08	34.936	272.0	1			C42H83NO3	3		M+NH4-[H2O]	C42H85N2O2	34.936	371	649.6590837	1	39.368	34.936	3	649.6590837													0.0	C:\Users\Brigham Young Univ\Desktop\Test PNNL Time\RD3_065_PQC_3_pos_ID_File_ID_File_fixed.csv	C:\Users\Brigham Young Univ\Desktop\Test PNNL Time/to_mzml\A4_PQC_3_pos_3.20-end_DI3.d.HRdm.mzML	[]	no peak used	An Error Occurred in Chromatography Division	Out.tsv	True		
DG 15:0_18:1(d7)	DG 15:0_18:1(d7)_37.660_0.552	610.562806	2259.6	33.1	258.28	1			C36H61[2H]7O5	3		M+Na-[H2O]	C36H61[2H]7O4Na	33.1	313	610.562806	1	37.66	33.1	3	610.562806	nan	nan	nan	nan	nan	nan					nan		0.0	C:\Users\Brigham Young Univ\Desktop\Test PNNL Time\RD3_065_PQC_3_pos_ID_File_ID_File_fixed.csv	C:\Users\Brigham Young Univ\Desktop\Test PNNL Time/to_mzml\A4_PQC_3_pos_3.20-end_DI3.d.HRdm.mzML	[]	no peak used	An Error Occurred in Chromatography Division	Out.tsv	True		
